
Tester ID/Tester Station: /CP1
Computer Name           : 3380P-07
Handler/Prober Name     : 1 (Temperature: 085.0 C)
Production ID           : BL2903AGO3C1AF01
Test Program Name       : D:\Program\CP\BL2903AGO3C1AF01\BL2903AGO3C1AF01.pln
Device Name             : E-BL2903AG-CP4
Lot ID                  : KC23908CP1
Wafer ID                : KC23908CP1-16
Probe Card No           : 1
Load Board No           : ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
SFT                     : 1
OPERATOR                : 1
Test Start Date         : Sat Mar 23 21:57:49 2024
Test End Date           : Sat Mar 23 22:28:44 2024
Fail Retest Rate        : 2.141328 % (Gross:2335, Sample:2385)
Sequence All ON         : NO
PreLoad Pat(Time)       :
Craft Current User      : Oper
Craft Version           : CRAFT_3380_2.60-SP4
OutPut TDO              :  WaferMapTDO SummaryTDO DataLogTDO STDF
Run Card No             : 1
Rom Code                : 1
                                       


 Sample   Pass   Pass%   Fail   Fail%
   2335   2202    94.3    133     5.7

,,,,,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,--NULL--,
,,,,,GPIO0,GPIO1,GPIO2,GPIO3,GPIO4,GPIO5,DN,DP,DN,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,GPIO3,

,,,,,-200,-200,-200,-200,-200,-200,-200,-200,-200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
,,,,,-900,-900,-900,-900,-900,-900,-900,-900,-900,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,
Serial#,Bin#,SBin#,XAdr,YAdr,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,
0,58,58,132,50,-512.441,-516.003,-515.594,-515.655,-515.759,-514.575,-466.945,-455.444,-504.917,15.322,15.169,15.169,15.322,15.781,15.322,15.628,15.016,15.475,15.475,15.628,15.322,15.628,15.628,15.475,15.322,15.322,15.781,15.169,15.322,15.322,15.322,15.016,15.475,15.322,15.475,15.628,15.169,15.475,15.169,15.628,15.628,15.628,15.169,15.628,15.169,15.475,15.322,15.169,15.322,15.475,15.322,15.322,15.322,15.169,15.322,15.781,15.169,15.628,15.475,15.628,15.628,15.169,15.322,15.169,15.169,15.322,15.628,15.475,15.475,15.169,15.322,15.016,15.475,15.475,
1,58,58,131,50,-512.837,-515.841,-515.499,-516.188,-518.699,-519.755,-466.318,-454.25,-504.596,15.909,15.909,15.909,16.062,16.215,15.909,16.215,15.756,16.062,16.062,16.062,15.909,16.062,16.062,16.062,16.062,15.909,16.062,15.909,15.909,15.756,15.909,15.909,16.062,15.909,16.062,16.062,15.756,15.909,15.909,16.062,16.062,16.062,15.909,16.215,15.756,16.062,16.062,15.909,15.909,15.909,15.909,15.909,16.062,16.062,15.909,16.062,15.909,16.215,15.909,16.215,16.062,15.909,15.909,15.909,15.909,16.062,16.062,16.062,16.062,15.909,16.062,15.909,16.215,16.062,
2,58,58,130,50,-512.257,-515.632,-514.959,-515.046,-518.702,-518.698,-466.043,-454.288,-503.66,13.143,13.143,12.99,13.143,13.449,13.143,13.449,12.99,13.296,13.296,13.449,13.143,13.449,13.449,13.449,13.296,13.143,13.602,12.99,12.99,13.143,13.143,12.99,13.296,13.143,13.296,13.449,12.99,13.296,13.143,13.296,13.296,13.449,12.837,13.449,12.99,13.143,13.296,13.143,12.99,13.143,13.143,13.296,13.296,12.99,13.143,13.449,13.143,13.449,13.143,13.296,13.296,13.143,12.99,13.143,12.99,13.143,13.449,13.296,13.296,12.99,13.143,13.143,13.449,13.449,
3,58,58,129,50,-513.524,-516.292,-516.067,-516.592,-518.509,-519.465,-467.333,-455.244,-507.01,14.921,15.074,14.921,15.074,15.534,14.921,15.228,14.921,15.228,15.074,15.381,15.228,15.381,15.381,15.074,15.074,15.074,15.534,15.074,14.921,14.921,15.074,14.921,15.228,15.074,15.074,15.381,15.074,15.228,14.921,15.228,15.228,15.381,14.921,15.534,14.921,15.228,15.228,14.921,15.074,15.074,15.074,15.074,15.074,14.921,15.074,15.381,15.074,15.228,15.074,15.228,15.228,15.074,15.074,14.921,15.074,14.921,15.381,15.228,15.228,14.921,15.074,14.921,15.381,15.228,
4,58,58,128,50,-513.034,-515.789,-515.921,-516.241,-519.043,-516.932,-466.75,-455.192,-505.882,14.154,13.848,14.307,14.154,14.001,14.154,13.848,14.001,14.154,13.848,14.154,14.154,14.154,14.001,13.848,13.848,13.695,13.848,14.001,14.154,14.001,14.001,13.695,13.848,14.154,13.848,14.307,14.154,14.001,13.695,13.695,14.307,14.307,14.001,13.695,13.848,14.307,13.695,14.001,14.307,13.848,14.307,13.848,14.154,14.154,13.695,14.459,14.154,13.848,14.307,14.001,13.848,14.307,14.154,13.848,14.154,14.154,14.001,13.695,13.695,14.307,13.848,13.695,14.001,14.001,
